utc,second,launched,completed,success,errors,skipped,p99_ms
2026-09-12T14:00:42.005623Z,0,20,20,20,0,0,13.102754000101413
2026-09-12T14:00:43.005623Z,1,20,20,20,0,0,3.5687419999703707
2026-09-12T14:00:44.005623Z,2,20,20,20,0,0,5.198233999976765
2026-09-12T14:00:45.005623Z,3,20,20,20,0,0,3.2269110000697765
2026-09-12T14:00:46.005623Z,4,20,20,20,0,0,2.684747000103016
2026-09-12T14:00:47.005623Z,5,20,20,20,0,0,4.4655870000269715
2026-09-12T14:00:48.005623Z,6,20,20,20,0,0,3.0347599999913655
2026-09-12T14:00:49.005623Z,7,20,20,20,0,0,3.4588949999942997
2026-09-12T14:00:50.005623Z,8,20,20,20,0,0,2.837005999936082
2026-09-12T14:00:51.005623Z,9,20,20,20,0,0,2.8427570000530977
2026-09-12T14:00:52.005623Z,10,20,20,20,0,0,2.861103999975967
2026-09-12T14:00:53.005623Z,11,20,20,20,0,0,3.6117280000098617
2026-09-12T14:00:54.005623Z,12,20,20,20,0,0,2.684444000010444
2026-09-12T14:00:55.005623Z,13,20,20,20,0,0,2.8108400000519396
2026-09-12T14:00:56.005623Z,14,20,20,20,0,0,2.7474820000179534
2026-09-12T14:00:57.005623Z,15,20,20,20,0,0,2.8044160000035845
2026-09-12T14:00:58.005623Z,16,20,20,20,0,0,2.768101000015122
2026-09-12T14:00:59.005623Z,17,20,20,20,0,0,2.468409000016436
2026-09-12T14:01:00.005623Z,18,20,20,20,0,0,2.4649130000398145
2026-09-12T14:01:01.005623Z,19,20,20,20,0,0,5.179494000003615
2026-09-12T14:01:02.005623Z,20,20,20,20,0,0,3.052638999974988
2026-09-12T14:01:03.005623Z,21,20,20,20,0,0,8.778011999993396
2026-09-12T14:01:04.005623Z,22,20,20,20,0,0,2.3951229999283896
2026-09-12T14:01:05.005623Z,23,20,20,20,0,0,2.9436940000096
2026-09-12T14:01:06.005623Z,24,20,20,20,0,0,2.18428200003018
2026-09-12T14:01:07.005623Z,25,20,20,20,0,0,4.668469000080222
2026-09-12T14:01:08.005623Z,26,20,20,20,0,0,2.3582829999213573
2026-09-12T14:01:09.005623Z,27,20,20,20,0,0,3.137370999979794
2026-09-12T14:01:10.005623Z,28,20,20,20,0,0,2.512304999982007
2026-09-12T14:01:11.005623Z,29,20,20,20,0,0,4.9808039999561515
2026-09-12T14:01:12.005623Z,30,20,20,20,0,0,6.1102079999955095
2026-09-12T14:01:13.005623Z,31,20,20,20,0,0,5.550945999971191
2026-09-12T14:01:14.005623Z,32,20,20,20,0,0,2.1657309999909558
2026-09-12T14:01:15.005623Z,33,20,20,20,0,0,5.113329999971938
2026-09-12T14:01:16.005623Z,34,20,20,20,0,0,3.6902330000430084
2026-09-12T14:01:17.005623Z,35,20,20,20,0,0,4.547068999954718
2026-09-12T14:01:18.005623Z,36,20,20,20,0,0,5.2199940000718925
2026-09-12T14:01:19.005623Z,37,20,20,20,0,0,2.335506000008536
2026-09-12T14:01:20.005623Z,38,20,20,19,1,0,3.0180129999735072
2026-09-12T14:01:21.005623Z,39,20,20,20,0,0,2.508088000013231
2026-09-12T14:01:22.005623Z,40,20,20,20,0,0,5.435970000007728
2026-09-12T14:01:23.005623Z,41,20,20,20,0,0,4.457487999957266
2026-09-12T14:01:24.005623Z,42,20,20,20,0,0,4.260382000097707
2026-09-12T14:01:25.005623Z,43,20,20,20,0,0,2.8658290000294073
2026-09-12T14:01:26.005623Z,44,20,20,20,0,0,2.8528650000225753
2026-09-12T14:01:27.005623Z,45,20,20,20,0,0,2.9671099999859507
2026-09-12T14:01:28.005623Z,46,20,20,20,0,0,2.998165999997582
2026-09-12T14:01:29.005623Z,47,20,20,20,0,0,3.9482519999864962
2026-09-12T14:01:30.005623Z,48,20,20,20,0,0,3.219550000039817
2026-09-12T14:01:31.005623Z,49,20,20,20,0,0,5.173561999981757
2026-09-12T14:01:32.005623Z,50,20,20,20,0,0,3.6617939999814553
2026-09-12T14:01:33.005623Z,51,20,20,20,0,0,2.245448999929067
2026-09-12T14:01:34.005623Z,52,20,20,20,0,0,3.354349000005641
2026-09-12T14:01:35.005623Z,53,20,20,20,0,0,2.372928999989199
2026-09-12T14:01:36.005623Z,54,20,20,20,0,0,6.758763999982875
2026-09-12T14:01:37.005623Z,55,20,20,20,0,0,2.9575109999768756
2026-09-12T14:01:38.005623Z,56,20,20,20,0,0,2.9782609999529086
2026-09-12T14:01:39.005623Z,57,20,20,20,0,0,2.8445130000136487
2026-09-12T14:01:40.005623Z,58,20,20,20,0,0,2.692188999958489
2026-09-12T14:01:41.005623Z,59,20,20,20,0,0,2.535566000005929
2026-09-12T14:01:42.005623Z,60,20,20,20,0,0,5.388850000031198
2026-09-12T14:01:43.005623Z,61,20,20,20,0,0,3.0396829999972397
2026-09-12T14:01:44.005623Z,62,20,20,20,0,0,2.684632000068632
2026-09-12T14:01:45.005623Z,63,20,20,20,0,0,5.069803000083084
2026-09-12T14:01:46.005623Z,64,20,20,20,0,0,4.498323999996501
2026-09-12T14:01:47.005623Z,65,20,20,20,0,0,4.710854999984804
2026-09-12T14:01:48.005623Z,66,20,20,20,0,0,2.6771410000492324
2026-09-12T14:01:49.005623Z,67,20,20,20,0,0,2.7548580000029688
2026-09-12T14:01:50.005623Z,68,20,20,20,0,0,3.525995000018156
2026-09-12T14:01:51.005623Z,69,20,20,20,0,0,2.6720710000063264
2026-09-12T14:01:52.005623Z,70,20,20,20,0,0,2.8421340000477358
2026-09-12T14:01:53.005623Z,71,20,20,20,0,0,2.5416209999775674
2026-09-12T14:01:54.005623Z,72,20,20,20,0,0,3.127860999939003
2026-09-12T14:01:55.005623Z,73,20,20,20,0,0,3.1347120000191353
